ID1 ID2 HetHet IBS0 Kinship
1007724 5946179 0.045 0.0147 0.0582
1007748 5650720 0.082 0.0046 0.2699
1007772 3422675 0.048 0.0129 0.0806
1007835 5892368 0.047 0.014 0.0679
1007846 3110525 0.075 0.0049 0.2393
1007846 5575056 0.079 0.0042 0.2629
1007854 3563509 0.079 0.0043 0.2609
1007854 4181036 0.079 0.005 0.2554
1007941 4407242 0.041 0.0122 0.0642
1007941 4471630 0.04 0.014 0.0471
1008057 3905616 0.045 0.0147 0.0528
1008138 1010564 0.068 0.0063 0.2041
1008138 5055104 0.08 0.0041 0.2695
1008167 1833339 0.056 0.0083 0.1452
1008206 3236301 0.085 0.0029 0.2937
1008273 1076735 0.046 0.0134 0.0717
1008307 4593636 0.047 0.0135 0.0727
1008375 2088368 0.046 0.0143 0.0643
1008381 4757203 0.077 0.0051 0.251
1008381 5093940 0.074 0.0061 0.2324
1008381 5124875 0.046 0.0145 0.0588
1008422 3231889 0.047 0.0125 0.0786
1008422 4268772 0.048 0.0137 0.0771
1008422 5364478 0.053 0.0101 0.1209
1008454 4616536 0.044 0.0159 0.0462
1008497 3890995 0.081 0.005 0.267
1008497 4336604 0.044 0.0155 0.0473
1008497 4437250 0.047 0.0138 0.072
1008528 1404233 0.047 0.0145 0.0582
1008605 4335684 0.074 0.0055 0.2347
1008612 3918866 0.047 0.0131 0.0747
1008753 1988321 0.046 0.0142 0.0632
1008795 1076339 0.059 0.0055 0.1779
1008859 4886215 0.076 0.0049 0.248
1008936 3640431 0.048 0.0132 0.0797
1009060 4208780 0.079 0.0032 0.2725
1009112 4157795 0.045 0.0144 0.0593
1009121 2032290 0.044 0.0157 0.0487
1009150 3978584 0.066 0 0.2478
1009150 5032460 0.065 0 0.244
1009224 1084402 0.072 0.0063 0.2186
1009224 3447001 0.052 0.0105 0.1118
1009224 3783976 0.052 0.0101 0.1178
1009261 4953305 0.048 0.0127 0.0827
1009359 1015208 0.08 0.0048 0.2609
1009466 5852100 0.054 0.0093 0.1302
1009482 5565250 0.047 0.0134 0.0719
1009516 1772549 0.047 0.014 0.0657
1009529 4628329 0.049 0.0122 0.0889
1009529 5704516 0.075 0.0048 0.2417
1009625 4589242 0.035 0.0088 0.1014
1009710 4306622 0.079 0.0046 0.2599
1009728 2272682 0.073 0.0065 0.222
1009752 2951709 0.046 0.0148 0.0585
1009863 5443295 0.078 0.0048 0.2553
1009881 1134043 0.048 0.0122 0.0856
1009914 2870207 0.081 0.0045 0.2674
1009992 2791567 0.046 0.0148 0.0584
1010056 1309782 0.047 0.0131 0.0725
1010074 5921953 0.052 0.0096 0.1236
1010099 1857126 0.053 0.0091 0.127
1010099 3057234 0.044 0.0156 0.0465
1010182 3424177 0.053 0.0085 0.1326
1010349 5861904 0.045 0.0142 0.0577
1010577 5379071 0.044 0.0149 0.0475
1010586 3855001 0.045 0.0144 0.0619
1010598 1932260 0.076 0.0039 0.2557
1010610 1412576 0.074 0.0045 0.246
1010634 2092571 0.047 0.0139 0.0696
1010691 3532480 0.047 0.0136 0.0747
1010748 1910200 0.046 0.0139 0.0666
1010748 3256196 0.072 0.0056 0.2237
1010748 3830280 0.045 0.0151 0.0512
1010772 3867266 0.046 0.0139 0.0685
1010883 1230505 0.046 0.0138 0.0706
1010929 2435280 0.043 0.0155 0.045
1010953 3562398 0.045 0.0149 0.0547
1010953 4146699 0.078 0.0044 0.2583
1010953 5819598 0.048 0.0135 0.0772
1011048 5820221 0.047 0.0139 0.0697
1011089 5428037 0.046 0.0144 0.0613
1011106 3851438 0.044 0.0154 0.0466
1011165 3314017 0.048 0.013 0.0794
1011201 3175271 0.079 0.0042 0.2649
1011213 4691300 0.045 0.0145 0.0607
1011238 2259216 0.048 0.0129 0.0802
1011274 1363705 0.045 0.0144 0.0564
1011343 2244941 0.043 0.0154 0.0447
1011386 4808710 0.079 0.0051 0.2506
1011470 3875270 0.075 0.0052 0.2437
1011518 5117800 0.071 0.0058 0.2209
1011709 5836539 0.046 0.0144 0.0625
1011760 2408555 0.046 0.0145 0.0644
1011760 4386831 0.046 0.0143 0.0637
1011783 4092287 0.045 0.0141 0.0643
